row_no,project_code,activity_field,organisation_name,city,grant_amount_eur,list_type
1,2026-1-TR01-KA121-VET-000407105,Mesleki Eğitim Alanında Erasmus Akreditasyonu,"GEBKİM Eğitim, Araştırma ve Sağlık Vakfı",Kocaeli,133849.0,Kabul Listesi
2,2026-1-TR01-KA121-VET-000413168,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Türkiye Kızılay Derneği,Ankara,43690.0,Kabul Listesi
3,2026-1-TR01-KA121-VET-000417730,Mesleki Eğitim Alanında Erasmus Akreditasyonu,ASO 1. Organize Sanayi Bölgesi,Ankara,136417.0,Kabul Listesi
4,2026-1-TR01-KA121-VET-000421708,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Karaman İl Milli Eğitim Müdürlüğü,Karaman,318585.0,Kabul Listesi
5,2026-1-TR01-KA121-VET-000421983,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Türkiye Cumhuriyeti Devlet Demiryolları İşletmesi Genel Müdürlüğü,Ankara,250806.0,Kabul Listesi
6,2026-1-TR01-KA121-VET-000424865,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Çorum İl Milli Eğitim Müdürlüğü,Çorum,140477.0,Kabul Listesi
7,2026-1-TR01-KA121-VET-000425312,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Muğla İl Milli Eğitim Müdürlüğü,Muğla,295600.0,Kabul Listesi
8,2026-1-TR01-KA121-VET-000425583,Mesleki Eğitim Alanında Erasmus Akreditasyonu,İzmit Mesleki ve Teknik Anadolu Lisesi,Kocaeli,362811.0,Kabul Listesi
9,2026-1-TR01-KA121-VET-000425667,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Bursa Osmangazi Tophane Mesleki ve Teknik Anadolu Lisesi,Bursa,217497.0,Kabul Listesi
10,2026-1-TR01-KA121-VET-000425773,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Türkiye Adalet Akademisi,Ankara,77900.0,Kabul Listesi
11,2026-1-TR01-KA121-VET-000426040,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Orman Genel Müdürlüğü,Ankara,126094.0,Kabul Listesi
12,2026-1-TR01-KA121-VET-000426645,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Erzurum Oltu Mesleki Eğitim Merkezi,Erzurum,183602.0,Kabul Listesi
13,2026-1-TR01-KA121-VET-000426785,Mesleki Eğitim Alanında Erasmus Akreditasyonu,Hatay İl Milli Eğitim Müdürlüğü,Hatay,340302.0,Kabul Listesi
