row_no,project_code,organisation_name,project_title,city,grant_amount_eur,list_type
1,2026-1-TR01-KA122-VET-000404854,Antalya Berberler Esnaf ve Sanatkarlar Odası,Berberlikte Eğitici ve Mentorluk Kapasitesinin Güçlendirilmesi,Antalya,14528.0,Kabul Listesi
2,2026-1-TR01-KA122-VET-000405133,Recep Atakaş Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Geleceğin İstihdamı için Akıllı Enerji Becerileri,Hatay,69318.0,Kabul Listesi
3,2026-1-TR01-KA122-VET-000405246,Ankara Çankaya Dikmen Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Elektrikli/Hibrit Araçlarda Dijital Dönüşüm ve Yeşil Beceriler,Ankara,49138.0,Kabul Listesi
4,2026-1-TR01-KA122-VET-000406216,Nedime Serap Ulusoy Denizcilik Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,River Skills 4.0: Gemi Kaptanlığı Öğrencileri için Tuna'da Dijital ve Yeşil Staj,Samsun,23684.0,Kabul Listesi
5,2026-1-TR01-KA122-VET-000406437,Altındağ Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Sürdürülebilir Dünya için Yenilenebilir Enerji ve Enerji Verimliliği,Ankara,41256.0,Kabul Listesi
6,2026-1-TR01-KA122-VET-000406489,Gebze Özel Eğitim Mesleki Eğitim Okulu,"Her Zihin Bir Dünya, Her Eğitim Bir Köprü",Kocaeli,27820.0,Kabul Listesi
7,2026-1-TR01-KA122-VET-000406766,Mehmet Cevdet Urgan Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Avrupa Hareketliliği Yoluyla Ayakkabıcılıkta Mesleki Becerilerin Geliştirilmesi,Gaziantep,27763.0,Kabul Listesi
8,2026-1-TR01-KA122-VET-000407182,Kuşadası Mesleki Eğitim Merkezi Müdürlüğü,Yeni Nesil Güneş Enerji Sistemleri Stajı,Aydın,19034.0,Kabul Listesi
9,2026-1-TR01-KA122-VET-000408915,Burdur Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Oyun Değiştirici: Mesleki Eğitimde Geleceğin Oyun Geliştiricileri için Avrupa Hareketliliği,Burdur,59513.0,Kabul Listesi
10,2026-1-TR01-KA122-VET-000410140,Bulancak Kaptan Fatoğlu Denizcilik Mesleki ve Teknik Eğitim Anadolu Lisesi Müdürlüğü,Denizcilikte Rotamız Yeşil Liman,Giresun,72190.0,Kabul Listesi
11,2026-1-TR01-KA122-VET-000410513,Şehit Jandarma Komando Er Bahri Avcı Mesleki Eğitim Merkezi Müdürlüğü,Otomotiv Mesleki Eğitiminde Dijital Dönüşüm,Bursa,40058.0,Kabul Listesi
12,2026-1-TR01-KA122-VET-000410597,Esenler Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,İlmekten Eskize: Üretimden Sanatkârlığa,İstanbul,29266.0,Kabul Listesi
13,2026-1-TR01-KA122-VET-000411839,Akçakoca Fedai Karabıyık Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Geleceğin Ustaları: Metal ile Makine ve Tasarım Teknolojileri Öğrencilerimizin Avrupa Stajı,Düzce,87308.0,Kabul Listesi
14,2026-1-TR01-KA122-VET-000411891,Doç. Dr. Burhan Bahriyeli Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Yazılım Destekli Dijital Lojistik Alanında Avrupa Stajı,İstanbul,43066.0,Kabul Listesi
15,2026-1-TR01-KA122-VET-000411958,Alaşehir Sümer Oral Mesleki Eğitim Merkezi Müdürlüğü,Almanya'da Staj Alaşehir'de İstihdam,Manisa,30844.0,Kabul Listesi
16,2026-1-TR01-KA122-VET-000412661,Milas Atatürk Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Mesleki Lezzet ve Sürdürülebilir Gastronomi Yoluyla İstihdam,Muğla,89803.0,Kabul Listesi
17,2026-1-TR01-KA122-VET-000412779,Karşıyaka Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Endüstri 4.0’da Hassas Üretim: CNC 3D Baskı ile İşgücü Optimizasyonu,Adana,52318.0,Kabul Listesi
18,2026-1-TR01-KA122-VET-000412868,Hatay Samandağ Adem Nural Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Geleceği Yeniden İnşa Eden Mesleki Beceriler,Hatay,28570.0,Kabul Listesi
19,2026-1-TR01-KA122-VET-000413013,Aziz Sancar Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Geleceğin Mühendisleri için Avrupa’da Güneş Enerjisi ve Akıllı Şebeke Teknolojileri Stajı,Adana,85094.0,Kabul Listesi
20,2026-1-TR01-KA122-VET-000414300,Payas Mesleki Eğitim Merkezi Müdürlüğü,Avrupa’da ‘’U Dönüşü'' ile Geleceği İnşa Ediyoruz,Hatay,74204.0,Kabul Listesi
21,2026-1-TR01-KA122-VET-000414536,Altınekin Şehit Adem Yıldırım Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Konya Ovası'ndan Yükselen Geleceğimiz için: Agroekolojik Tarım Sesleri,Konya,30524.0,Kabul Listesi
22,2026-1-TR01-KA122-VET-000414637,Kanuni Sultan Süleyman Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,E-Mobilite Alanında Mesleki Eğitim Öğrencileri ve Öğretmenlerinin Yetkinliklerinin Geliştirilmesi,Gaziantep,61858.0,Kabul Listesi
23,2026-1-TR01-KA122-VET-000415369,Ardeşen Piri Reis Denizcilik Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Ekobakım: Mavi Ekonomi için Yeşil Teknolojiler,Rize,44766.0,Kabul Listesi
24,2026-1-TR01-KA122-VET-000415613,Hatay Mesleki Eğitim Merkezi Müdürlüğü,"Beceri Bizden, Tasarruf Enerji 4.0 Sistemlerinden",Hatay,59970.0,Kabul Listesi
25,2026-1-TR01-KA122-VET-000415736,Gaziantep Nizip Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Geleceğimin Formülü: Yeşil Dönüşümde Erasmus Katalizörü,Gaziantep,55653.0,Kabul Listesi
26,2026-1-TR01-KA122-VET-000416140,İsmet İnönü Mesleki ve Teknik Anadolu Lisesi Müdürlüğü,Future Green VET Beyond Borders,Adana,42150.0,Kabul Listesi
27,2026-1-TR01-KA122-VET-000416488,İzmir Menderes Mesleki Eğitim Merkezi Müdürlüğü,Atıktan Yeşil İstihdama: Gıda Temaslı rPET,İzmir,74204.0,Kabul Listesi
